ID,library_ID,Layer,Latitude(N),Longtitude(E),Altitude(m),AGB g/m2,BGB g/m2,SWC,DOC(mg/kg),DON(mg/kg),NH4-N(mg/kg),NO3-N(mg/kg),AP£¨mg/kg£©,pH,SOC(g/kg),TN(g/kg),TP(g/kg),C/N,MAP(mm),MAT(¡æ)
QZ105,112,topsoil,34.0779,97.6125,4668,97.84,1624.1,1.59,2549.93,12868.53,322.05,4.79,35.68,7.71,154.04,6.67,0.63,23.11,493.29,-3.99
QZ106,92,subsoil,34.0779,97.6125,4668,97.84,1218.29,1.45,1426.63,3496.54,70.38,29.35,13.37,7.75,146.73,5.03,0.63,29.18,493.29,-3.99
QZ107,113,topsoil,34.5677,97.098,4314,210.4,,0.24,445.51,3318.04,164.33,42.97,8.38,7.98,33.87,3.09,0.2,10.95,366.96,0.15
QZ108,93,subsoil,34.5677,97.098,4314,210.4,,0.23,575.06,1621.73,9.03,1.27,7.23,8.15,35.58,3.57,0.79,9.96,366.96,0.15
QZ109,114,topsoil,34.5677,97.098,4314,107.2,,0.22,261.79,1829.88,118.36,49.99,10.44,8.01,34.23,3.02,0.45,11.33,366.96,0.15
QZ110,94,subsoil,34.5677,97.098,4314,107.2,,0.23,616.19,3852.8,299.92,34.2,7.13,8.16,41.26,3.42,0.18,12.08,366.96,0.15
QZ111,115,topsoil,34.5677,97.098,4314,151.08,1644.71,0.25,827.55,7444.75,179.67,55.98,12.13,8.01,41.85,3.53,0.41,11.85,366.96,0.15
QZ112,95,subsoil,34.5677,97.098,4314,151.08,390.74,0.19,592.64,1542.6,54.43,19.66,5.31,8.04,32.33,2.95,0.4,10.97,366.96,0.15
QZ113,117,topsoil,34.8559,98.4516,4218,134.64,,0.17,409.74,1758.75,16.12,5.6,6.55,8.35,20.57,2.23,0.41,9.24,356.71,0.87
QZ114,97,subsoil,34.8559,98.4516,4218,134.64,,0.21,179.73,547.96,7.53,3.7,4.86,8.25,20.32,2.03,0.37,10,356.71,0.87
QZ115,119,topsoil,34.8559,98.4516,4218,104.36,789.79,0.15,104.97,325.27,52.21,29.96,5.85,8.4,19.71,1.83,0.37,10.77,356.71,0.87
QZ116,98,subsoil,34.8559,98.4516,4218,104.36,728.74,0.14,158.3,338.27,11.18,9.8,2.59,8.39,13.51,1.34,0.19,10.09,356.71,0.87
QZ117,120,topsoil,34.8559,98.4516,4218,137.32,,0.12,391.76,1516.55,24.75,30.81,4.35,8.38,17.81,1.44,0.4,12.36,356.71,0.87
QZ118,99,subsoil,34.8559,98.4516,4218,137.32,,0.23,116.95,225.94,8.06,28.12,3.39,8.49,12.03,1.34,0.36,8.94,356.71,0.87
QZ119,121,topsoil,35.2603,98.9913,4270,167.57,264.48,0.17,399.05,1343.96,26.05,29.68,50.95,9,13.68,1.26,0.59,10.84,467.64,-1.08
QZ120,100,subsoil,35.2603,98.9913,4270,167.57,177.7,0.18,307.24,722.82,14.21,15.25,7.86,9.43,10.43,1.15,0.37,9.1,467.64,-1.08
